,0,1,2,3,4,5
156,992.0,4687.0,1948.0,1023.0,,303.0
157,993.0,596.0,1952.0,1049.0,,305.0
158,994.0,597.0,1443.0,1053.0,,306.0
159,995.0,2652.0,1953.0,1065.0,,309.0
160,996.0,606.0,1956.0,1067.0,,310.0
161,997.0,2970.0,1959.0,1068.0,,312.0
162,998.0,614.0,1962.0,1078.0,,316.0
163,999.0,4713.0,1451.0,1093.0,,317.0
164,1000.0,2670.0,1964.0,1095.0,,318.0
165,1001.0,2672.0,1453.0,1098.0,,320.0
166,1002.0,4728.0,1968.0,1101.0,,321.0
167,1003.0,634.0,1970.0,1103.0,,325.0
168,1004.0,640.0,1459.0,1105.0,,326.0
169,1005.0,2690.0,1461.0,1106.0,,4423.0
170,1006.0,4741.0,1462.0,1107.0,,328.0
171,1007.0,2694.0,440.0,1110.0,,329.0
172,1008.0,647.0,1976.0,1111.0,,330.0
173,1009.0,4744.0,1979.0,1115.0,,331.0
174,1010.0,650.0,1980.0,1117.0,,332.0
175,1011.0,2699.0,1470.0,1118.0,,333.0
176,1012.0,4747.0,1982.0,1123.0,,334.0
177,1013.0,4748.0,1984.0,1125.0,,335.0
178,1014.0,2703.0,1985.0,1126.0,,337.0
179,1015.0,658.0,1987.0,1130.0,,338.0
180,1016.0,659.0,1988.0,1131.0,,342.0
181,1017.0,2706.0,1479.0,1132.0,,343.0
182,1018.0,2707.0,1994.0,1133.0,,344.0
183,1019.0,2708.0,1484.0,1134.0,,345.0
184,1020.0,2980.0,461.0,1139.0,,348.0
185,1021.0,2712.0,1999.0,1140.0,,349.0
186,1022.0,665.0,2000.0,1142.0,,351.0
187,1024.0,667.0,2003.0,1143.0,,352.0
188,1025.0,2716.0,2005.0,1144.0,,353.0
189,1026.0,669.0,2006.0,1146.0,,355.0
190,1027.0,670.0,2014.0,1147.0,,356.0
191,1028.0,2982.0,1503.0,1148.0,,358.0
192,1029.0,672.0,1508.0,1150.0,,359.0
193,1030.0,2720.0,2021.0,1154.0,,360.0
194,1031.0,2721.0,2022.0,1155.0,,361.0
195,1032.0,2723.0,1512.0,1156.0,,363.0
196,1033.0,2726.0,1513.0,1160.0,,366.0
197,1034.0,2727.0,491.0,1161.0,,368.0
198,1035.0,2728.0,2028.0,1163.0,,369.0
199,1036.0,2730.0,2030.0,1168.0,,372.0
200,1037.0,2736.0,1521.0,1169.0,,375.0
201,1038.0,2737.0,2035.0,1175.0,,376.0
202,1039.0,2738.0,2037.0,1177.0,,377.0
203,1040.0,2739.0,1527.0,1178.0,,378.0
204,1041.0,2740.0,505.0,1179.0,,379.0
205,1042.0,2741.0,1531.0,1180.0,,380.0
206,1043.0,2986.0,,1181.0,,381.0
207,1044.0,2987.0,,1182.0,,383.0
208,1045.0,2751.0,,1184.0,,384.0
209,1046.0,2753.0,,1185.0,,385.0
210,1047.0,2754.0,,1186.0,,387.0
211,1048.0,2755.0,,1187.0,,388.0
212,1050.0,713.0,,1192.0,,391.0
213,1051.0,2762.0,,1194.0,,392.0
214,1052.0,2768.0,,1195.0,,393.0
215,1054.0,2769.0,,1198.0,,394.0
216,1055.0,2770.0,,1201.0,,396.0
