,0,1,2,3,4,5,6
59,145.0,273.0,2385.0,2343.0,146.0,680.0,166.0
60,1682.0,280.0,4433.0,4395.0,147.0,681.0,167.0
61,148.0,281.0,4434.0,2349.0,3732.0,682.0,171.0
62,151.0,284.0,4435.0,2355.0,149.0,683.0,173.0
63,154.0,287.0,4436.0,2358.0,150.0,685.0,178.0
64,156.0,288.0,4437.0,4410.0,4245.0,686.0,180.0
65,159.0,292.0,347.0,2364.0,155.0,687.0,181.0
66,4257.0,294.0,354.0,318.0,157.0,688.0,193.0
67,168.0,296.0,2404.0,319.0,3741.0,691.0,194.0
68,175.0,301.0,357.0,4415.0,161.0,692.0,196.0
69,176.0,306.0,2406.0,322.0,3745.0,693.0,198.0
70,1715.0,311.0,362.0,4418.0,4264.0,694.0,202.0
71,1720.0,314.0,2411.0,324.0,4265.0,695.0,205.0
72,185.0,316.0,365.0,4420.0,684.0,696.0,206.0
73,186.0,317.0,2413.0,2374.0,1196.0,698.0,207.0
74,191.0,325.0,2414.0,4422.0,689.0,699.0,208.0
75,192.0,328.0,2420.0,4424.0,690.0,700.0,209.0
76,195.0,329.0,374.0,2380.0,3765.0,701.0,211.0
77,200.0,331.0,2424.0,4430.0,4278.0,702.0,217.0
78,201.0,332.0,2425.0,336.0,3767.0,703.0,228.0
79,4302.0,334.0,382.0,341.0,3770.0,704.0,230.0
80,210.0,335.0,2430.0,2392.0,2239.0,705.0,231.0
81,213.0,338.0,2431.0,2396.0,4295.0,706.0,232.0
82,216.0,339.0,2436.0,350.0,4297.0,707.0,238.0
83,221.0,340.0,389.0,2398.0,1226.0,708.0,241.0
84,224.0,342.0,2437.0,2399.0,4299.0,709.0,243.0
85,4320.0,343.0,2439.0,2403.0,716.0,710.0,244.0
86,227.0,344.0,2443.0,364.0,4301.0,711.0,247.0
87,234.0,4439.0,2447.0,2415.0,2254.0,712.0,248.0
88,239.0,346.0,2448.0,2416.0,721.0,714.0,249.0
89,1775.0,348.0,403.0,2419.0,3795.0,715.0,251.0
90,756.0,349.0,2452.0,2421.0,4310.0,717.0,253.0
91,1273.0,352.0,2455.0,2423.0,218.0,718.0,256.0
92,1280.0,355.0,408.0,2428.0,4315.0,719.0,260.0
93,261.0,358.0,2458.0,2429.0,2268.0,720.0,263.0
94,4358.0,359.0,2459.0,2432.0,4316.0,722.0,264.0
95,266.0,363.0,2460.0,2433.0,3806.0,723.0,265.0
96,4363.0,367.0,2461.0,386.0,3807.0,729.0,267.0
97,270.0,368.0,2462.0,2435.0,740.0,730.0,268.0
98,271.0,370.0,2463.0,2440.0,3812.0,732.0,269.0
99,276.0,371.0,2466.0,2441.0,4326.0,733.0,4367.0
100,4378.0,372.0,419.0,2444.0,3818.0,734.0,272.0
101,4379.0,376.0,2467.0,2446.0,751.0,735.0,274.0
102,285.0,377.0,2468.0,2449.0,4335.0,738.0,275.0
103,298.0,379.0,2469.0,402.0,4336.0,739.0,277.0
104,300.0,380.0,2470.0,2450.0,4339.0,742.0,278.0
105,4397.0,381.0,2471.0,2451.0,4341.0,744.0,282.0
106,4402.0,387.0,2473.0,2453.0,246.0,747.0,283.0
107,307.0,390.0,427.0,2456.0,1276.0,749.0,286.0
108,821.0,392.0,428.0,2464.0,2302.0,758.0,290.0
109,1334.0,393.0,2476.0,2465.0,3839.0,759.0,291.0
110,4405.0,396.0,2477.0,2474.0,769.0,768.0,293.0
111,313.0,397.0,2478.0,2475.0,3841.0,771.0,297.0
112,4414.0,398.0,2481.0,2479.0,3843.0,774.0,299.0
113,4421.0,405.0,2482.0,2483.0,772.0,777.0,302.0
114,327.0,407.0,2485.0,2488.0,1285.0,778.0,303.0
115,839.0,413.0,2486.0,2520.0,775.0,779.0,4399.0
116,841.0,415.0,2489.0,2526.0,2312.0,786.0,305.0
117,1353.0,416.0,2490.0,2527.0,4360.0,789.0,309.0
118,2378.0,420.0,2491.0,4576.0,2316.0,809.0,310.0
119,1363.0,421.0,450.0,2533.0,4365.0,814.0,312.0
120,1369.0,2472.0,4550.0,2540.0,784.0,817.0,4408.0
121,873.0,425.0,4568.0,2541.0,3860.0,823.0,315.0
122,2412.0,429.0,2524.0,4591.0,4373.0,831.0,320.0
123,1399.0,430.0,478.0,2545.0,1302.0,834.0,321.0
124,892.0,431.0,4575.0,4596.0,1305.0,835.0,323.0
125,896.0,432.0,4578.0,4599.0,794.0,849.0,326.0
126,1409.0,2480.0,4581.0,2553.0,4380.0,862.0,4423.0
127,2434.0,434.0,4584.0,2555.0,4382.0,866.0,330.0
128,1415.0,438.0,4587.0,4606.0,1315.0,878.0,4428.0
129,395.0,441.0,4589.0,4616.0,805.0,880.0,333.0
130,1419.0,443.0,4590.0,2572.0,806.0,916.0,4429.0
131,909.0,445.0,4592.0,2574.0,807.0,936.0,337.0
132,1421.0,447.0,4593.0,2576.0,1320.0,979.0,345.0
133,2457.0,449.0,4594.0,2579.0,3881.0,980.0,351.0
134,1946.0,452.0,499.0,2582.0,1325.0,981.0,353.0
135,1435.0,453.0,4595.0,2583.0,4398.0,982.0,356.0
136,1947.0,454.0,4597.0,2584.0,1329.0,983.0,360.0
137,1437.0,456.0,502.0,2586.0,818.0,984.0,361.0
138,1438.0,457.0,4598.0,2589.0,3897.0,985.0,366.0
139,1439.0,459.0,4600.0,2590.0,830.0,986.0,369.0
140,1948.0,460.0,4601.0,2591.0,1346.0,987.0,373.0
141,1952.0,462.0,4603.0,2592.0,1348.0,988.0,375.0
142,1953.0,463.0,4604.0,2599.0,2373.0,989.0,378.0
143,1443.0,464.0,4605.0,2600.0,1354.0,990.0,383.0
144,1956.0,465.0,4607.0,2602.0,845.0,991.0,384.0
145,1964.0,466.0,4609.0,2604.0,1359.0,992.0,385.0
146,1968.0,467.0,4610.0,2605.0,1360.0,993.0,388.0
147,1970.0,468.0,4611.0,2606.0,851.0,994.0,391.0
148,1459.0,469.0,4615.0,2607.0,854.0,995.0,394.0
149,1461.0,470.0,4617.0,2608.0,1881.0,996.0,399.0
150,1462.0,472.0,538.0,2609.0,1370.0,997.0,400.0
151,2487.0,473.0,2588.0,2610.0,1882.0,998.0,401.0
152,1976.0,475.0,2594.0,2611.0,2394.0,999.0,404.0
153,1980.0,476.0,562.0,2613.0,3932.0,1000.0,406.0
154,1470.0,479.0,2612.0,2614.0,1378.0,1001.0,409.0
155,1982.0,480.0,570.0,2616.0,1383.0,1002.0,410.0
156,1984.0,484.0,2618.0,2617.0,1896.0,1003.0,411.0
157,1985.0,485.0,572.0,2624.0,1385.0,1004.0,412.0
158,1987.0,486.0,2623.0,2625.0,1905.0,1005.0,414.0
159,1479.0,488.0,578.0,2628.0,1921.0,1006.0,417.0
160,1994.0,490.0,2638.0,2630.0,1418.0,1007.0,418.0
161,1484.0,492.0,2639.0,2631.0,1930.0,1008.0,422.0
162,1486.0,493.0,2641.0,2635.0,1932.0,1009.0,423.0
163,2000.0,494.0,2646.0,2642.0,1959.0,1010.0,424.0
164,2003.0,495.0,2647.0,2643.0,1962.0,1011.0,426.0
165,2005.0,496.0,2652.0,2644.0,1451.0,1012.0,433.0
166,2006.0,497.0,4713.0,2650.0,1453.0,1013.0,435.0
167,2014.0,498.0,4716.0,2653.0,1966.0,1014.0,436.0
168,1503.0,500.0,2670.0,2658.0,1977.0,1015.0,437.0
169,1508.0,501.0,4728.0,2659.0,1979.0,1016.0,2484.0
170,2021.0,503.0,4729.0,2661.0,1988.0,1017.0,439.0
171,2022.0,504.0,4731.0,2663.0,1996.0,1018.0,440.0
172,1512.0,506.0,4732.0,2665.0,1999.0,1019.0,442.0
173,1513.0,507.0,4735.0,2666.0,1521.0,1020.0,444.0
174,491.0,508.0,4736.0,2667.0,505.0,1021.0,446.0
175,2030.0,509.0,2690.0,4733.0,1533.0,1022.0,448.0
176,2032.0,510.0,4739.0,4738.0,,1023.0,451.0
