,0,1,2
226,861.0,443.0,4380.0
227,862.0,444.0,293.0
228,864.0,447.0,4381.0
229,865.0,448.0,4382.0
230,866.0,449.0,4388.0
231,870.0,451.0,297.0
232,872.0,452.0,298.0
233,878.0,453.0,299.0
234,880.0,454.0,300.0
235,881.0,456.0,4389.0
236,882.0,457.0,302.0
237,884.0,458.0,303.0
238,886.0,459.0,4397.0
239,887.0,460.0,305.0
240,889.0,462.0,4399.0
241,890.0,463.0,307.0
242,898.0,464.0,308.0
243,901.0,465.0,4402.0
244,902.0,466.0,310.0
245,903.0,467.0,4405.0
246,907.0,468.0,312.0
247,910.0,469.0,313.0
248,913.0,471.0,2360.0
249,914.0,472.0,315.0
250,916.0,473.0,4408.0
251,920.0,474.0,4410.0
252,921.0,2520.0,4414.0
253,924.0,477.0,321.0
254,927.0,2526.0,323.0
255,929.0,479.0,2371.0
256,936.0,480.0,2373.0
257,941.0,482.0,4421.0
258,943.0,483.0,327.0
259,944.0,484.0,4423.0
260,950.0,485.0,4424.0
261,951.0,486.0,330.0
262,963.0,488.0,2378.0
263,975.0,489.0,4428.0
264,978.0,490.0,4429.0
265,979.0,492.0,4430.0
266,980.0,493.0,337.0
267,981.0,494.0,345.0
268,982.0,495.0,2394.0
269,983.0,496.0,351.0
270,984.0,497.0,356.0
271,985.0,498.0,361.0
272,986.0,2540.0,2412.0
273,987.0,500.0,369.0
274,988.0,501.0,373.0
275,989.0,504.0,378.0
276,990.0,506.0,383.0
277,991.0,507.0,384.0
278,992.0,508.0,2434.0
279,993.0,509.0,391.0
280,994.0,510.0,394.0
281,995.0,511.0,395.0
282,996.0,512.0,2457.0
283,997.0,513.0,410.0
284,998.0,514.0,414.0
285,999.0,515.0,417.0
286,1000.0,516.0,418.0
287,1001.0,517.0,422.0
288,1002.0,518.0,426.0
289,1003.0,519.0,433.0
290,1004.0,520.0,439.0
291,1005.0,521.0,440.0
292,1006.0,523.0,2487.0
293,1007.0,524.0,446.0
294,1008.0,525.0,455.0
295,1009.0,527.0,461.0
296,1010.0,529.0,481.0
297,1011.0,530.0,487.0
298,1012.0,531.0,491.0
299,1013.0,532.0,4596.0
300,1014.0,534.0,505.0
301,1015.0,536.0,2568.0
302,1016.0,537.0,2569.0
303,1017.0,539.0,522.0
304,1018.0,540.0,526.0
305,1019.0,541.0,528.0
306,1020.0,542.0,533.0
307,1021.0,543.0,2585.0
308,1022.0,544.0,545.0
309,1023.0,2590.0,4646.0
310,1024.0,546.0,2599.0
311,1025.0,547.0,2603.0
312,1026.0,548.0,561.0
313,1027.0,549.0,2615.0
314,1028.0,550.0,2619.0
315,1029.0,551.0,2620.0
316,1030.0,552.0,2622.0
317,1031.0,553.0,2626.0
318,1032.0,554.0,2627.0
319,1033.0,555.0,2632.0
320,1034.0,556.0,2633.0
321,1035.0,557.0,2634.0
322,1036.0,558.0,2637.0
323,1037.0,559.0,592.0
324,1038.0,560.0,2640.0
325,1039.0,2602.0,2648.0
326,1040.0,2605.0,2649.0
327,1041.0,563.0,4699.0
328,1042.0,564.0,610.0
329,1043.0,565.0,621.0
330,1044.0,566.0,4723.0
331,1045.0,567.0,4726.0
332,1046.0,568.0,676.0
333,1047.0,569.0,684.0
334,1048.0,2614.0,689.0
335,1049.0,571.0,690.0
336,1050.0,2616.0,694.0
337,1051.0,573.0,695.0
338,1052.0,574.0,700.0
339,1053.0,575.0,716.0
340,1054.0,576.0,721.0
341,1055.0,577.0,740.0
342,1056.0,2624.0,751.0
343,1057.0,579.0,756.0
344,1058.0,580.0,769.0
345,1059.0,581.0,771.0
346,1060.0,582.0,772.0
347,1061.0,583.0,775.0
348,1062.0,584.0,784.0
349,1063.0,585.0,806.0
350,1064.0,586.0,818.0
351,1065.0,587.0,821.0
352,1066.0,588.0,830.0
353,1067.0,589.0,839.0
354,1068.0,590.0,845.0
355,1069.0,593.0,851.0
356,1070.0,594.0,856.0
357,1071.0,595.0,869.0
358,1072.0,2642.0,873.0
359,1073.0,597.0,892.0
360,1074.0,598.0,893.0
361,1075.0,599.0,894.0
362,1076.0,600.0,896.0
363,1077.0,601.0,897.0
