,0,1,2,3,4,5
124,774.0,142.0,398.0,1484.0,2540.0,303.0
125,776.0,2189.0,400.0,2003.0,4591.0,4399.0
126,777.0,144.0,401.0,2014.0,2545.0,305.0
127,778.0,2191.0,404.0,1508.0,4596.0,309.0
128,780.0,146.0,405.0,2021.0,4599.0,310.0
129,785.0,147.0,407.0,2022.0,2553.0,4405.0
130,786.0,2192.0,411.0,1512.0,2555.0,312.0
131,787.0,149.0,413.0,1513.0,4606.0,4408.0
132,789.0,150.0,415.0,491.0,2560.0,315.0
133,790.0,2196.0,416.0,2030.0,4616.0,321.0
134,791.0,2198.0,420.0,1521.0,2572.0,323.0
135,792.0,4240.0,421.0,1523.0,2574.0,4421.0
136,797.0,154.0,423.0,1525.0,2576.0,326.0
137,799.0,155.0,2472.0,1527.0,2579.0,4423.0
138,801.0,156.0,425.0,505.0,2582.0,330.0
139,802.0,157.0,429.0,,2583.0,4428.0
140,803.0,2205.0,430.0,,2584.0,4429.0
141,804.0,2206.0,431.0,,2586.0,337.0
142,812.0,160.0,432.0,,2589.0,345.0
143,813.0,161.0,2480.0,,2590.0,351.0
144,814.0,2207.0,434.0,,2591.0,356.0
145,816.0,2211.0,435.0,,2592.0,360.0
146,817.0,4251.0,436.0,,2599.0,361.0
147,820.0,4252.0,437.0,,2600.0,366.0
148,822.0,4253.0,438.0,,2602.0,369.0
149,826.0,2215.0,441.0,,2605.0,373.0
150,827.0,2216.0,443.0,,2606.0,378.0
151,828.0,4256.0,444.0,,2608.0,383.0
152,829.0,4258.0,445.0,,2609.0,384.0
153,831.0,2219.0,447.0,,2610.0,385.0
154,833.0,2220.0,449.0,,2611.0,388.0
155,835.0,2221.0,452.0,,2613.0,391.0
156,836.0,174.0,453.0,,2614.0,394.0
157,838.0,2223.0,454.0,,2616.0,399.0
158,840.0,4263.0,456.0,,2617.0,406.0
159,844.0,4264.0,457.0,,2624.0,409.0
160,846.0,2226.0,458.0,,2625.0,410.0
161,849.0,4266.0,459.0,,2628.0,2457.0
162,852.0,2228.0,460.0,,2629.0,412.0
163,858.0,4269.0,462.0,,2630.0,414.0
164,860.0,4271.0,463.0,,2631.0,417.0
165,862.0,4272.0,464.0,,2635.0,418.0
166,865.0,2232.0,465.0,,2642.0,422.0
167,870.0,4273.0,466.0,,2643.0,424.0
168,874.0,4276.0,467.0,,2644.0,426.0
169,876.0,2235.0,468.0,,2650.0,433.0
170,881.0,2236.0,469.0,,2653.0,2484.0
171,882.0,189.0,470.0,,4704.0,439.0
172,884.0,2238.0,472.0,,2658.0,440.0
173,886.0,2239.0,473.0,,2659.0,2487.0
174,887.0,2240.0,474.0,,2661.0,442.0
175,889.0,2241.0,475.0,,4710.0,446.0
176,898.0,2242.0,476.0,,4712.0,448.0
177,901.0,2243.0,477.0,,2666.0,451.0
178,902.0,2244.0,479.0,,4714.0,455.0
179,903.0,4284.0,480.0,,4715.0,461.0
180,905.0,2246.0,484.0,,4720.0,471.0
181,907.0,2247.0,485.0,,4725.0,481.0
182,910.0,4287.0,486.0,,4730.0,482.0
183,913.0,4288.0,488.0,,4733.0,483.0
184,915.0,2250.0,489.0,,4738.0,487.0
185,916.0,4292.0,490.0,,4740.0,511.0
186,924.0,4293.0,492.0,,697.0,514.0
187,926.0,4294.0,493.0,,706.0,522.0
188,927.0,2254.0,494.0,,727.0,526.0
189,931.0,4295.0,495.0,,736.0,528.0
