,0,1,2,3,4
239,,2457.0,939.0,,2304.0
240,,375.0,940.0,,2305.0
241,,376.0,941.0,,2306.0
242,,377.0,943.0,,4348.0
243,,378.0,944.0,,2308.0
244,,379.0,947.0,,2309.0
245,,380.0,950.0,,4349.0
246,,381.0,951.0,,2311.0
247,,383.0,953.0,,2312.0
248,,384.0,960.0,,2313.0
249,,385.0,963.0,,4357.0
250,,387.0,975.0,,2315.0
251,,388.0,978.0,,2316.0
252,,390.0,979.0,,2317.0
253,,391.0,980.0,,271.0
254,,392.0,981.0,,2320.0
255,,393.0,982.0,,2323.0
256,,394.0,983.0,,2327.0
257,,396.0,984.0,,2331.0
258,,397.0,985.0,,2332.0
259,,398.0,986.0,,4380.0
260,,399.0,987.0,,289.0
261,,400.0,988.0,,308.0
262,,401.0,990.0,,2360.0
263,,403.0,992.0,,2371.0
264,,404.0,993.0,,2373.0
265,,405.0,994.0,,327.0
266,,406.0,995.0,,2394.0
267,,407.0,997.0,,4476.0
268,,408.0,998.0,,4482.0
269,,409.0,999.0,,395.0
270,,410.0,1001.0,,4492.0
271,,411.0,1002.0,,4493.0
272,,412.0,1003.0,,4494.0
273,,413.0,1004.0,,4495.0
274,,414.0,1005.0,,4499.0
275,,415.0,1007.0,,4501.0
276,,416.0,1008.0,,4510.0
277,,417.0,1009.0,,4517.0
278,,418.0,1011.0,,4523.0
279,,420.0,1012.0,,4525.0
280,,421.0,1013.0,,2496.0
281,,422.0,1014.0,,2497.0
